,CL=F,AGG,DBC,VTI,^VIX,AAPL,AMZN,GOOGL,MSFT
0,-0.046810691984256136,0.0021009197946750824,-0.026050379121635436,0.002000812297209942,-0.04401991151581541,0.022195888424651367,0.005168015487474253,0.03351225052808293,-0.0016744396258816518
1,0.012951991702227161,-0.0006984715391783469,-0.003451257501009275,-0.007915577857526057,0.054735021886452184,-0.007121296632283558,-0.01362473272144138,0.008132348131726808,-0.005702840604260961
2,-0.003906965287475139,0.0005992564296650738,0.005194814895387978,0.0036657874498822185,-0.01153215316009093,0.0049382913419009355,-0.022673936828333185,-0.007409939352764239,0.009784140917152628
3,-0.008022834047339389,0.0,-0.00861318754259388,0.0,-0.007500012715657589,0.08306985850421267,0.007466697692871005,0.003970420532931174,0.0010021176742123217
4,-0.029115725191509623,-0.0010984752003976306,-0.014769979099059638,0.0022199498684738472,-0.03694370999332186,0.04785587703423455,-0.016675542678344257,0.008156597352467765,-0.010013373455184937
5,-0.039614945788858824,-0.0018999123675791374,-0.0013225162214359765,0.00757491137217281,-0.05231040693124156,-0.012371020429485458,0.006729500927329601,0.020961877986453326,0.03506431841786806
6,0.021395539466049662,-0.001403164201188023,0.02339945688555356,0.00659596752564684,-0.06623737576900413,-0.012317458054125319,0.021390353877556167,0.010565889107091886,0.0166124546030888
7,-0.033591291519386224,0.001304532091456867,-0.02286444137537802,-0.001902291977909254,0.05812809603566493,0.02620995804127557,0.012041886025806248,-0.0014256975977835484,-0.0016024388705347947
8,0.02011331014271489,-0.0006005629197632922,0.008829847184072204,0.0007054739734826398,-0.013966445225972013,-0.02214245769736123,-0.02017584881424994,-0.013881268908221278,-0.0019257214854468963
9,-0.03369069830937499,0.00140284874409069,-0.01050320820978512,-0.005361009151904295,0.02455148490420922,-0.06192685928315933,-0.023759279316295068,-0.01900333678684185,-0.0032148408349721436
10,0.029912879356646105,-0.00039942734254405643,0.015037812740058776,0.0039007520520595307,-0.041474723236691435,-0.0063995754088598256,0.0010816518526504115,0.003935829794978751,0.003548006054032049
11,-0.016541653829331482,0.0005000842021563034,0.0008711791931959034,-0.003955942825673242,0.035577005077398915,-0.019321845318763242,-0.0018908616062547345,-0.018192985731002254,-0.01253588999898847
12,0.07647173412344,-0.0019024588042301227,0.031780691491659185,0.002836885300463443,-0.03992574623019729,-0.012559190854596225,-0.01407308436152821,-0.0037226736447895092,0.0006509560122953673
13,0.005995603395136051,-0.0003009402676801276,-0.008438833924785838,0.008840516099534623,-0.043520290389213456,0.01166875103657361,0.022783471224093965,0.04179096359998846,0.011385970621755614
14,-0.020588755854065388,-0.001304076870886628,-0.008936140726365505,-0.011216803280577614,0.13447925960932916,-0.005190058232923844,-0.004830951568459585,-0.022000880616995344,-0.020585608873431416
15,0.021943548529484547,-9.98885988169329e-05,0.012451764795656128,-0.000638349368383806,-0.008021403783061043,-0.010087085156295417,-0.006202805353410223,0.015878247592116423,0.004926075098432348
16,-0.025442076759255583,-0.001306170645265392,-0.02035636094090032,0.00021299427593879372,0.028751095375913582,0.0065591231688744145,0.015739508450111073,-0.00679658350194523,-0.0022872811506854385
